new_pro_id,price,cost,prod_cost,rebate
153,0.95,0.3942,0.37,0.08
154,0.95,0.3942,0.3501,0.08
155,0.85,0.3942,0.3501,0.08
163,0.85,0.2365,0.2338,0.08
166,0.6,0.249,0.23,0.08
189,0.85,0.2678,0.2617,0.08
191,0.85,0.3454,0.33,0.08
199,0.85,0.2662,0.25,0
209,0.85,0.2918,0.26,0.08
340,0.75,0.5373,0.4009,0.16
345,0.75,0.44,0.36,0
357,0.75,0.2788,0.25,0.06
370,0.75,0.5373,0.4009,0.16
371,0.75,0.5373,0.4009,0.16
376,0.75,0.5373,0.4824,0.16
384,0.75,0.4275,0.4275,0.18
387,0.75,0.2829,0.2735,0.1
388,0.75,0.4275,0.4275,0.18
393,0.75,0.5373,0.4009,0.16
396,0.75,0.5373,0.4009,0.16
397,0.75,0.5373,0.4009,0.16
401,0.75,0.4275,0.4275,0.18
404,0.75,0.5373,0.4009,0.16
408,0.75,0.266,0.266,0.08
410,0.65,0.259,0.22,0.08
412,0.65,0.2627,0.2421,0.08
553,0.75,0.34,0.3237,0.1
555,0.75,0.34,0.3,0.1
563,0.75,0.34,0.3,0.1
565,0.75,0.34,0.31,0.1
568,0.75,0.34,0.3203,0.1
585,0.85,0.225,0.2318,0.1
5554,0.75,0.5682,0.4318,0.18
5678,0.6,0.2983,0.2737,0.08
5754,0.75,0.34,0.3,0.1
5807,1,0.3994,0.3994,0.08
5902,0.75,0.44,0.36,0
6472,1,0.47,0.45,0
6519,1.5,0.8856,0.89,0.16
7057,0.65,0.147,0.11,0.1
7120,0.75,0.3247,0.2826,0
7249,0.75,0.385,0.39,0.18
7383,0.85,0.3348,0.3219,0
7392,0.75,0.2986,0.28,0.06
7577,0.65,0.314,0.2729,0.08
7578,0.65,0.314,0.2729,0.08
8155,0.75,0.24,0.24,0.08
8226,0.6,0.2268,0.218,0.1
8227,0.75,0.34,0.3485,0.1
8769,0.75,0.4237,0.404,0.16
9578,0.75,0.1932,0.1932,0.1
99901,0.75,0.34,0.3,0.1
99902,0.75,0.32,0.32,0
99903,0.75,0.4875,0.4275,0.18
99904,0.75,0.3782,0.38,0.16
99905,0.75,0.3791,0.34,0
99906,0.85,0.4006,0.4008,0.16
99907,0.85,0.3048,0.297,0
99908,0.75,0.3556,0.36,0
99909,0.75,0.34,0.28,0.1
99910,0.6,0.2189,0.18,0.09
99911,0.75,0.4232,0.4009,0.16
99912,0.75,0.44,0.3414,0
99913,0.75,0.283,0.283,0
99914,0.75,0.362,0.3416,0
99915,1.5,0.375,0.38,0
99916,0.75,0.266,0.2536,0.08
99917,0.85,0.3069,0.28,0
99918,0.6,0.2268,0.2181,0.1
99919,0.75,0.2893,0.26,0.06
99920,1.1,0.45,0.45,0
99921,1,0.5458,0.6079,0
99922,0.75,0.2082,0.19,0.09
99923,2,1.1267,1.06,0
99924,0.75,0.4623,0.4623,0
99925,0.75,0.24,0.24,0.08
99926,0.75,0.3787,0.3,0.1
